"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","direction","screen_duration","acceleration","start_time","initial_speed","final_speed","correct_response","correct","key_response","ball_start_time","ball_end_time","key_press_time","rt_from_ball","practice","extreme","subject_id","study_id","session_id","right_bias","left_bias","recodeDir","recodeKey"
"","","","","","moving-image",144,556827,"0.0-5.4-0.124-0.124",2399,"","","UP",1000,1.6,1000,3.6,5.2,"a","true","a",1002,2004,2399,395,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",146,561892,"0.0-5.5-0.125-0.125",2734,"","","LEFT",1500,2.8,1000,0.833333333333334,5.03333333333333,"a","true","a",1001,2498,2734,236,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",147,564733,"0.0-5.5-0.126-0.126",2330,"","","UP",1000,1.6,1000,3.6,5.2,"a","false","d",1006,2007,2330,323,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",0
"","","","","","moving-image",148,567675,"0.0-5.5-0.127-0.127",2434,"","","LEFT",1000,1.06666,1000,3.86667,4.93333,"a","true","a",998,1998,2427,429,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",149,570731,"0.0-5.5-0.128-0.128",2546,"","","DOWN",1500,-1.06666,1000,3.73332833333333,2.13333833333333,"d","true","d",1001,2497,2546,49,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",0
"","","","","","moving-image",150,573619,"0.0-5.5-0.129-0.129",2377,"","","RIGHT",1000,3.2,1000,2.8,6,"a","true","a",1003,2004,2377,373,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DECELERATING",1
"","","","","","moving-image",152,579932,"0.0-5.5-0.131-0.131",2514,"","","LEFT",1500,-3.54,1000,5.58833333333333,0.278333333333333,"d","true","d",1006,2420,2513,93,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",0
"","","","","","moving-image",153,583384,"0.0-5.5-0.132-0.132",2935,"","","DOWN",1500,0.7,1000,2.40833333333333,3.45833333333333,"a","true","a",1007,2497,2934,437,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",154,586206,"0.0-5.5-0.133-0.133",2309,"","","RIGHT",1000,-3.2,1000,6,2.8,"d","true","d",1001,1992,2310,318,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DECELERATING",0
"","","","","","moving-image",155,590072,"0.0-5.5-0.134-0.134",3354,"","","DOWN",1000,0,1000,4.4,4.4,"d","true","d",1001,2001,3354,1353,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",0
"","","","","","moving-image",156,595453,"0.0-5.5-0.135-0.135",4862,"","","RIGHT",1500,-0.7,1000,3.45833333333333,2.40833333333333,"d","true","d",1000,2486,4862,2376,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DECELERATING",0
"","","","","","moving-image",157,599122,"0.0-5.5-0.136-0.136",3158,"","","DOWN",1500,-1.4,1000,3.98333333333333,1.88333333333333,"d","true","d",1006,2482,3159,677,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",0
"","","","","","moving-image",158,602219,"0.0-5.5-0.137-0.137",2581,"","","RIGHT",1500,3.54,1000,0.278333333333333,5.58833333333333,"a","true","a",1004,2500,2581,81,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DECELERATING",1
"","","","","","moving-image",159,605325,"0.0-5.5-0.138-0.138",2595,"","","DOWN",1000,1.6,1000,3.6,5.2,"a","true","a",1005,2006,2595,589,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",160,609336,"0.0-5.5-0.139-0.139",3495,"","","LEFT",1500,2.1,1000,1.35833333333333,4.50833333333333,"a","true","a",1009,2499,3495,996,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",161,612553,"0.0-5.5-0.140-0.140",2707,"","","DOWN",1500,-2.1,1000,4.50833333333333,1.35833333333333,"d","true","d",1006,2484,2707,223,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",0
"","","","","","moving-image",162,617508,"0.0-5.5-0.141-0.141",4441,"","","LEFT",1500,2.1,1000,1.35833333333333,4.50833333333333,"a","false","d",1005,2499,4441,1942,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",0
"","","","","","moving-image",163,620933,"0.0-5.5-0.142-0.142",2911,"","","DOWN",1500,3.54,1000,0.278333333333333,5.58833333333333,"a","true","a",1002,2502,2911,409,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",164,625031,"0.0-5.5-0.143-0.143",3586,"","","LEFT",1500,-1.4,1000,3.98333333333333,1.88333333333333,"d","false","a",1004,2481,3587,1106,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",165,628346,"0.0-5.5-0.144-0.144",2797,"","","DOWN",1000,-1.06666,1000,4.93333,3.86667,"d","false","a",1012,1994,2803,809,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",166,632144,"0.0-5.5-0.145-0.145",3287,"","","LEFT",1500,1.06666,1000,2.13333833333333,3.73332833333333,"a","true","a",1002,2497,3287,790,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
